ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,CLASS
0.11256592,0.6885681,9.49266,0.0,0.0,0.0,0.0,0.0,9.81,0.11256592,0.6885681,-0.31734008,0.0,0.0,0.0,11459580074475,Still
0.11256592,0.6885681,9.49266,0.0,0.0,0.0,0.0,0.0,9.81,0.11256592,0.6885681,-0.31734008,0.036928687,-0.009096196,-0.06475245,11459630074475,Still
0.11256592,0.6885681,9.49266,0.0,0.0,0.0,0.0,0.0,9.81,-0.008532257,-0.042960662,-0.38589752,0.036928687,-0.009096196,-0.06475245,11459680074475,Still
0.13187577,0.6860234,9.407487,-0.007456851,-0.041545313,-0.015978966,0.1420546,0.6873706,9.784702,-0.010178833,-0.0013471985,-0.37721556,0.034978062,-0.0076447083,-0.011229079,11459730074475,Still
0.1486409,0.6712042,9.388776,-0.007456851,-0.041545313,-0.015978966,0.16690293,0.72164935,9.781858,-0.018262023,-0.0504451,-0.3930826,0.036645107,-0.009219262,-0.019077865,11459780074475,Still
0.1405577,0.68916684,9.402846,-0.007456851,-0.039414786,-0.017044231,0.1498384,0.71760774,9.782457,-0.0092807,-0.028440857,-0.3796106,0.036452718,-0.008345508,-0.019116513,11459830074475,Still
0.13127701,0.66970736,9.387578,-0.007456851,-0.039414786,-0.014913702,0.14579682,0.7167096,9.782607,-0.014519806,-0.04700226,-0.39502853,0.036408585,-0.008136489,-0.019120412,11459880074475,Still
0.13741425,0.6950047,9.413923,-0.008522116,-0.04261058,-0.015978966,0.14175522,0.71626055,9.782757,-0.0043409728,-0.021255799,-0.368833,0.036393523,-0.0079342285,-0.019121341,11459930074475,Still
0.13172607,0.67584455,9.43024,-0.0063915867,-0.04261058,-0.014913702,0.13831238,0.71566176,9.782757,-0.006586304,-0.0398172,-0.35251695,0.036362283,-0.0077585066,-0.019133903,11459980074475,Still
0.13442047,0.6953041,9.417965,-0.0063915867,-0.039414786,-0.014913702,0.1353186,0.71476364,9.782907,-8.9813233E-4,-0.019459534,-0.3649411,0.036319263,-0.007603146,-0.019126717,11460030074475,Still
0.1511856,0.6810837,9.388926,-0.007456851,-0.039414786,-0.015978966,0.13202545,0.7135661,9.783056,0.019160157,-0.032482453,-0.3941304,0.036263745,-0.0074347993,-0.019145045,11460080074475,Still
